cis_code	name	pharmaceutical_form	admin_mode	amm_status	amm_procedure_type	marketing_status	amm_date	bdm_status	eu_auth_nb	owner	reinforced_monitoring
61266250	A 313 200 000 UI POUR CENT, pommade	pommade	cutanée	Autorisation active	Procédure nationale	Commercialisée	12/03/1998			 PHARMA DEVELOPPEMENT	Non
62869109	A 313 50 000 U.I., capsule molle	capsule molle	orale	Autorisation active	Procédure nationale	Commercialisée	07/07/1997			 PHARMA DEVELOPPEMENT	Non
62170486	ABACAVIR/LAMIVUDINE MYLAN PHARMA 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	03/03/2017			 MYLAN SAS	Non
67720261	ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	03/03/2017			 SANDOZ	Non
65857902	ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	03/05/2017			 TEVA SANTE	Non
66513085	ABASAGLAR 100 unités/ml, solution injectable en cartouche	solution injectable	sous-cutanée	Autorisation active	Procédure centralisée	Commercialisée	09/09/2014		EU/1/14/944	 ELI LILLY REGIONAL OPERATIONS (AUTRICHE)	Oui
64332894	ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli	solution injectable	sous-cutanée	Autorisation active	Procédure centralisée	Commercialisée	09/09/2014		EU/1/14/944	 ELI LILLY REGIONAL OPERATIONS (AUTRICHE)	Oui
66207341	ABELCET 5 mg/ml, suspension à diluer pour perfusion	suspension à diluer pour perfusion	intraveineuse	Autorisation active	Procédure nationale	Commercialisée	10/06/1997			 ACINO FRANCE	Non
60538772	ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	20/09/2013			 BOIRON	Non
65698396	ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	04/08/2016			 BOIRON	Non
63075735	ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	23/07/2010			 BOIRON	Non
69985792	ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	23/07/2010			 LEHNING	Non
62425595	ABIES PECTINATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  solution en gouttes en gouttes	orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	26/10/2010			 WELEDA	Non
64055988	ABILIFY 1 mg/ml, solution buvable	solution buvable	orale	Autorisation active	Procédure centralisée	Commercialisée	28/10/2005		EU/1/04/276	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
65198099	ABILIFY 10 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Commercialisée	04/06/2004		EU/1/04/276	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
61815891	ABILIFY 10 mg, comprimé orodispersible	comprimé orodispersible	orale	Autorisation active	Procédure centralisée	Commercialisée	20/06/2005		EU/1/04/276	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
64224801	ABILIFY 15 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Commercialisée	04/06/2004		EU/1/04/276	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
66791654	ABILIFY 15 mg, comprimé orodispersible	comprimé orodispersible	orale	Autorisation active	Procédure centralisée	Commercialisée	20/06/2005		EU/1/04/276	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
60599533	ABILIFY 5 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Commercialisée	04/06/2004		EU/1/04/276	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
69641873	ABILIFY 7,5 mg/ml, solution injectable	solution injectable	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	04/10/2006		EU/1/04/276	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
68729480	ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	15/11/2013		EU/1/13/882	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non
60667087	ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Non commercialisée	15/11/2013	Warning disponibilité	EU/1/13/882	 OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)	Non